noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
9.8,4128,4107,4191,9.7,4271,144,3.16,2.33

No.,dataNT,dataT
1,4134,4259
2,4127,4280
3,4119,4284
4,4125,4288
5,4135,4265
6,4136,4264
7,4132,4263
8,4125,4271
9,4135,4279
10,4137,4250
11,4130,4261
12,4140,4253
13,4142,4260
14,4132,4272
15,4123,4278
16,4119,4255
17,4130,4284
18,4120,4282
19,4130,4263
20,4123,4270
21,4124,4257
22,4134,4271
23,4121,4265
24,4145,4267
25,4132,4273
26,4114,4266
27,4125,4261
28,4129,4268
29,4126,4265
30,4122,4273
31,4123,4266
32,4124,4256
33,4114,4267
34,4118,4274
35,4130,4262
36,4127,4261
37,4129,4264
38,4130,4265
39,4141,4273
40,4124,4265
41,4128,4273
42,4135,4263
43,4129,4259
44,4132,4282
45,4191,4272
46,4134,4269
47,4125,4262
48,4122,4273
49,4121,4268
50,4127,4275
51,4116,4273
52,4118,4281
53,4123,4267
54,4134,4266
55,4130,4258
56,4132,4282
57,4120,4269
58,4131,4267
59,4124,4270
60,4122,4281
61,4128,4277
62,4107,4259
63,4112,4274
64,4126,4271
65,4123,4272
66,4121,4273
67,4132,4281
68,4135,4270
69,4119,4275
70,4119,4290
71,4133,4290
72,4140,4286
73,4118,4275
74,4129,4271
75,4136,4282
76,4130,4279
77,4132,4284
78,4122,4269
79,4143,4264
80,4124,4270
81,4134,4269
82,4136,4268
83,4125,4279
84,4130,4281
85,4125,4265
86,4127,4246
87,4125,4258
88,4119,4269
89,4121,4292
90,4132,4281
91,4126,4279
92,4113,4285
93,4121,4290
94,4128,4287
95,4139,4280
96,4136,4275
97,4117,4265
98,4115,4285
99,4129,4283
100,4140,4284
